w_Gen1,mag_Gen1,w_k2a_Gen1,mag_k2a_Gen1,w_Gen2,mag_Gen2,w_k2a_Gen2,mag_k2a_Gen2,w_Gen3,mag_Gen3,w_k2a_Gen3,mag_k2a_Gen3,w_Gen4,mag_Gen4,w_k2a_Gen4,mag_k2a_Gen4
0.00011861737164524792,0.7882934519373137,0.00011861737164524792,0.9025173124144021,0.00011861737164524792,0.7882934519373137,0.00011861737164524792,0.9025173124144021,0.00011861737164524792,0.788293453924823,0.00011861737164524792,0.9025173128130579,0.00011861737164524792,0.7882934519373137,0.00011861737164524792,0.9025173124144021
0.00012307798025066658,0.788294601275035,0.00012307798025066658,0.9025186389644767,0.00012307798025066658,0.788294601275035,0.00012307798025066658,0.9025186389644767,0.00012307798025066658,0.7882946034148393,0.00012307798025066658,0.9025186393936809,0.00012307798025066658,0.788294601275035,0.00012307798025066658,0.9025186389644767
0.00012770633013086446,0.7882958386798609,0.00012770633013086446,0.9025200671604496,0.00012770633013086446,0.7882958386798609,0.00012770633013086446,0.9025200671604496,0.00012770633013086446,0.7882958409836291,0.00012770633013086446,0.9025200676225416,0.00012770633013086446,0.7882958386798609,0.00012770633013086446,0.9025200671604496
0.0001325087291997954,0.7882971708998666,0.0001325087291997954,0.9025216047908684,0.0001325087291997954,0.7882971708998666,0.0001325087291997954,0.9025216047908684,0.0001325087291997954,0.7882971733801644,0.0001325087291997954,0.9025216052883691,0.0001325087291997954,0.7882971708998666,0.0001325087291997954,0.9025216047908684
0.00013749172258064192,0.788298605200197,0.00013749172258064192,0.9025232602410745,0.00013749172258064192,0.788298605200197,0.00013749172258064192,0.9025232602410745,0.00013749172258064192,0.7882986078705506,0.00013749172258064192,0.9025232607766969,0.00013749172258064192,0.788298605200197,0.00013749172258064192,0.9025232602410745
0.00014266210152607368,0.7883001494026837,0.00014266210152607368,0.9025250425389305,0.00014266210152607368,0.7883001494026837,0.00014266210152607368,0.9025250425389305,0.00014266210152607368,0.7883001522776575,0.00014266210152607368,0.9025250431155962,0.00014266210152607368,0.7883001494026837,0.00014266210152607368,0.9025250425389305
0.00014802691267395087,0.7883018119284996,0.00014802691267395087,0.9025269614040567,0.00014802691267395087,0.7883018119284996,0.00014802691267395087,0.9025269614040567,0.00014802691267395087,0.7883018150237724,0.00014802691267395087,0.9025269620249103,0.00014802691267395087,0.7883018119284996,0.00014802691267395087,0.9025269614040567
0.0001535934676510897,0.7883036018440861,0.0001535934676510897,0.9025290273008332,0.0001535934676510897,0.7883036018440861,0.0001535934676510897,0.9025290273008332,0.0001535934676510897,0.7883036051765396,0.0001535934676510897,0.902529027969261,0.0001535934676510897,0.7883036018440861,0.0001535934676510897,0.9025290273008332
0.00015936935303817744,0.7883055289105949,0.00015936935303817744,0.9025312514954696,0.00015936935303817744,0.7883055289105949,0.00015936935303817744,0.9025312514954696,0.00015936935303817744,0.7883055324984042,0.00015936935303817744,0.9025312522151172,0.00015936935303817744,0.7883055289105949,0.00015936935303817744,0.9025312514954696
0.00016536244070941805,0.7883076036371215,0.00016536244070941805,0.9025336461174437,0.00016536244070941805,0.7883076036371215,0.00016536244070941805,0.9025336461174437,0.00016536244070941805,0.788307607499855,0.00016536244070941805,0.9025336468922364,0.00016536244070941805,0.7883076036371215,0.00016536244070941805,0.9025336461174437
